accidentId,region_id,relationship
AE_FIRE_EM_00001,REG_제주시_이도이동,OCCURRED_IN_REGION
AE_FIRE_EM_00002,REG_제주시_조천읍,OCCURRED_IN_REGION
AE_FIRE_EM_00003,REG_제주시_일도이동,OCCURRED_IN_REGION
AE_FIRE_EM_00004,REG_제주시_건입동,OCCURRED_IN_REGION
AE_FIRE_EM_00005,REG_제주시_용담삼동,OCCURRED_IN_REGION
AE_FIRE_EM_00006,REG_제주시_삼도이동,OCCURRED_IN_REGION
AE_FIRE_EM_00007,REG_제주시_건입동,OCCURRED_IN_REGION
AE_FIRE_EM_00008,REG_제주시_용담이동,OCCURRED_IN_REGION
AE_FIRE_EM_00009,REG_제주시_오라일동,OCCURRED_IN_REGION
AE_FIRE_EM_00010,REG_제주시_연동,OCCURRED_IN_REGION
AE_FIRE_EM_00011,REG_제주시_용담이동,OCCURRED_IN_REGION
AE_FIRE_EM_00012,REG_제주시_삼도일동,OCCURRED_IN_REGION
AE_FIRE_EM_00013,REG_제주시_연동,OCCURRED_IN_REGION
AE_FIRE_EM_00014,REG_제주시_노형동,OCCURRED_IN_REGION
AE_FIRE_EM_00015,REG_제주시_연동,OCCURRED_IN_REGION
AE_FIRE_EM_00016,REG_제주시_연동,OCCURRED_IN_REGION
AE_FIRE_EM_00017,REG_제주시_조천읍,OCCURRED_IN_REGION
AE_FIRE_EM_00018,REG_제주시_삼양이동,OCCURRED_IN_REGION
AE_FIRE_EM_00019,REG_제주시_삼양일동,OCCURRED_IN_REGION
AE_FIRE_EM_00020,REG_서귀포시_성산읍,OCCURRED_IN_REGION
AE_FIRE_EM_00021,REG_제주시_구좌읍,OCCURRED_IN_REGION
AE_FIRE_EM_00022,REG_서귀포시_성산읍,OCCURRED_IN_REGION
AE_FIRE_EM_00023,REG_제주시_조천읍,OCCURRED_IN_REGION
AE_FIRE_EM_00024,REG_제주시_조천읍,OCCURRED_IN_REGION
AE_FIRE_EM_00025,REG_제주시_조천읍,OCCURRED_IN_REGION
AE_FIRE_EM_00026,REG_제주시_조천읍,OCCURRED_IN_REGION
AE_FIRE_EM_00027,REG_제주시_노형동,OCCURRED_IN_REGION
AE_FIRE_EM_00028,REG_제주시_외도일동,OCCURRED_IN_REGION
AE_FIRE_EM_00029,REG_제주시_연동,OCCURRED_IN_REGION
AE_FIRE_EM_00030,REG_제주시_도두일동,OCCURRED_IN_REGION
AE_FIRE_EM_00031,REG_제주시_연동,OCCURRED_IN_REGION
AE_FIRE_EM_00032,REG_제주시_도두이동,OCCURRED_IN_REGION
AE_FIRE_EM_00033,REG_제주시_노형동,OCCURRED_IN_REGION
AE_FIRE_EM_00034,REG_제주시_애월읍,OCCURRED_IN_REGION
AE_FIRE_EM_00035,REG_제주시_조천읍,OCCURRED_IN_REGION
AE_FIRE_EM_00036,REG_제주시_용강동,OCCURRED_IN_REGION
AE_FIRE_EM_00037,REG_제주시_조천읍,OCCURRED_IN_REGION
AE_FIRE_EM_00038,REG_제주시_아라이동,OCCURRED_IN_REGION
AE_FIRE_EM_00039,REG_제주시_오등동,OCCURRED_IN_REGION
AE_FIRE_EM_00040,REG_서귀포시_서귀동,OCCURRED_IN_REGION
AE_FIRE_EM_00041,REG_서귀포시_동홍동,OCCURRED_IN_REGION
AE_FIRE_EM_00042,REG_서귀포시_서귀동,OCCURRED_IN_REGION
AE_FIRE_EM_00043,REG_서귀포시_토평동,OCCURRED_IN_REGION
AE_FIRE_EM_00044,REG_서귀포시_서귀동,OCCURRED_IN_REGION
AE_FIRE_EM_00045,REG_서귀포시_회수동,OCCURRED_IN_REGION
AE_FIRE_EM_00046,REG_서귀포시_색달동,OCCURRED_IN_REGION
AE_FIRE_EM_00047,REG_서귀포시_중문동,OCCURRED_IN_REGION
AE_FIRE_EM_00048,REG_서귀포시_안덕면,OCCURRED_IN_REGION
AE_FIRE_EM_00049,REG_서귀포시_색달동,OCCURRED_IN_REGION
AE_FIRE_EM_00050,REG_서귀포시_회수동,OCCURRED_IN_REGION
AE_FIRE_EM_00051,REG_서귀포시_도순동,OCCURRED_IN_REGION
AE_FIRE_EM_00052,REG_제주시_애월읍,OCCURRED_IN_REGION
AE_FIRE_EM_00053,REG_서귀포시_색달동,OCCURRED_IN_REGION
AE_FIRE_EM_00054,REG_서귀포시_성산읍,OCCURRED_IN_REGION
AE_FIRE_EM_00055,REG_서귀포시_성산읍,OCCURRED_IN_REGION
AE_FIRE_EM_00056,REG_제주시_구좌읍,OCCURRED_IN_REGION
AE_FIRE_EM_00057,REG_제주시_구좌읍,OCCURRED_IN_REGION
AE_FIRE_EM_00058,REG_서귀포시_표선면,OCCURRED_IN_REGION
AE_FIRE_EM_00059,REG_서귀포시_남원읍,OCCURRED_IN_REGION
AE_FIRE_EM_00060,REG_서귀포시_남원읍,OCCURRED_IN_REGION
AE_FIRE_EM_00061,REG_서귀포시_표선면,OCCURRED_IN_REGION
AE_FIRE_EM_00062,REG_서귀포시_표선면,OCCURRED_IN_REGION
AE_FIRE_EM_00063,REG_서귀포시_남원읍,OCCURRED_IN_REGION
AE_FIRE_EM_00064,REG_서귀포시_남원읍,OCCURRED_IN_REGION
AE_FIRE_EM_00065,REG_서귀포시_남원읍,OCCURRED_IN_REGION
AE_FIRE_EM_00066,REG_서귀포시_남원읍,OCCURRED_IN_REGION
AE_FIRE_EM_00067,REG_서귀포시_남원읍,OCCURRED_IN_REGION
AE_FIRE_EM_00068,REG_서귀포시_남원읍,OCCURRED_IN_REGION
AE_FIRE_EM_00069,REG_서귀포시_남원읍,OCCURRED_IN_REGION
AE_FIRE_EM_00070,REG_서귀포시_남원읍,OCCURRED_IN_REGION
AE_FIRE_EM_00071,REG_서귀포시_남원읍,OCCURRED_IN_REGION
AE_FIRE_EM_00072,REG_서귀포시_남원읍,OCCURRED_IN_REGION
AE_FIRE_EM_00073,REG_서귀포시_남원읍,OCCURRED_IN_REGION
AE_FIRE_EM_00074,REG_서귀포시_토평동,OCCURRED_IN_REGION
AE_FIRE_EM_00075,REG_서귀포시_남원읍,OCCURRED_IN_REGION
AE_FIRE_EM_00076,REG_서귀포시_남원읍,OCCURRED_IN_REGION
AE_FIRE_EM_00077,REG_서귀포시_보목동,OCCURRED_IN_REGION
