placeId,riskScore,riskBasis,nearbyAnnualAvg,regionAnnualAvg
P124,0.5947,nearby_1km,11.0,55.33
P125,0.3965,nearby_1km,5.0,66.33
P126,0.3957,region_only,0.0,27.0
P127,0.6064,nearby_1km,11.5,117.0
P128,0.0,nearby_1km,0.5,5.67
P129,0.5792,region_only,0.0,114.0
P130,0.5825,region_only,0.0,117.0
P131,0.7808,nearby_1km,22.0,15.67
P132,0.2423,nearby_1km,2.5,66.33
P133,0.5861,region_only,0.0,120.33
P134,0.0823,nearby_1km,1.0,55.33
P135,0.1982,nearby_1km,2.0,55.33
P136,0.6488,nearby_1km,13.5,55.33
P137,0.2805,nearby_1km,3.0,55.33
P138,0.4865,region_only,0.0,55.33
P139,0.5124,nearby_1km,8.0,12.0
P140,0.5698,nearby_1km,10.0,6.0
P141,0.0,nearby_1km,0.5,57.0
P142,0.2805,nearby_1km,3.0,66.33
P143,0.5279,nearby_1km,8.5,55.33
P144,0.5565,nearby_1km,9.5,55.33
P145,0.4865,region_only,0.0,55.33
P146,0.5792,region_only,0.0,114.0
P147,0.7681,nearby_1km,21.0,114.0
P148,0.5426,nearby_1km,9.0,27.67
P149,0.253,region_only,0.0,8.33
P150,0.6176,nearby_1km,12.0,101.33
P151,0.4194,nearby_1km,5.5,66.33
P152,0.2216,region_only,0.0,6.33
P153,0.2805,nearby_1km,3.0,117.0
P154,0.0823,nearby_1km,1.0,55.33
P155,0.7336,nearby_1km,18.5,22.0
P156,0.3716,nearby_1km,4.5,22.0
P157,0.0,nearby_1km,0.5,117.0
P158,0.0,nearby_1km,0.5,22.0
P159,0.2423,nearby_1km,2.5,6.33
P160,0.3443,nearby_1km,4.0,22.0
P161,0.4406,nearby_1km,6.0,22.0
P162,0.7107,nearby_1km,17.0,120.33
P163,0.0,nearby_1km,0.5,27.67
P164,0.1982,nearby_1km,2.0,66.33
P165,0.8568,nearby_1km,29.0,65.67
P166,0.3443,nearby_1km,4.0,55.33
P167,0.7989,nearby_1km,23.5,120.33
P168,0.1982,nearby_1km,2.0,22.0
P169,0.3965,nearby_1km,5.0,27.0
P170,0.0,nearby_1km,0.5,22.0
P171,0.8662,nearby_1km,30.0,101.33
P172,0.3443,nearby_1km,4.0,101.33
P173,0.4603,nearby_1km,6.5,65.67
P174,0.5084,region_only,0.0,65.67
P175,0.5084,region_only,0.0,65.67
P176,0.3957,region_only,0.0,27.0
P177,0.0,nearby_1km,0.5,22.0
P178,0.8103,nearby_1km,24.5,27.67
P179,0.837,nearby_1km,27.0,120.33
P180,0.0823,nearby_1km,1.0,66.33
P181,0.3988,region_only,0.0,27.67
P182,0.296,region_only,0.0,12.0
P183,0.4406,nearby_1km,6.0,114.0
P184,0.5669,region_only,0.0,103.67
P185,0.1982,nearby_1km,2.0,27.0
P186,0.2423,nearby_1km,2.5,66.33
P187,0.0,nearby_1km,0.5,8.0
P188,0.884,nearby_1km,32.0,120.33
P189,0.2423,nearby_1km,2.5,5.0
P190,0.0823,nearby_1km,1.0,24.0
P191,0.6388,nearby_1km,13.0,120.33
P192,0.5861,region_only,0.0,120.33
P193,0.3716,nearby_1km,4.5,22.0
P194,0.2483,region_only,0.0,8.0
P195,0.4194,nearby_1km,5.5,134.0
P196,0.4603,nearby_1km,6.5,24.0
P197,0.8103,nearby_1km,24.5,0.0
P198,0.7026,nearby_1km,16.5,27.67
P199,0.564,region_only,0.0,101.33
P200,0.564,region_only,0.0,101.33
P201,0.1461,nearby_1km,1.5,114.0
P202,0.0823,nearby_1km,1.0,55.33
P203,0.3142,nearby_1km,3.5,55.33
P204,0.0,nearby_1km,0.5,4.67
P205,0.2576,region_only,0.0,8.67
P206,0.1883,region_only,0.0,4.67
P207,0.4865,region_only,0.0,55.33
P208,0.5825,region_only,0.0,117.0
P209,0.4865,region_only,0.0,55.33
P210,0.2423,nearby_1km,2.5,6.33
P211,0.0823,nearby_1km,1.0,6.0
P212,0.1461,nearby_1km,1.5,120.33
P213,0.1982,nearby_1km,2.0,20.33
P214,0.2805,nearby_1km,3.0,5.0
P215,0.2423,nearby_1km,2.5,0.0
P216,0.3443,nearby_1km,4.0,117.0
P217,0.1461,nearby_1km,1.5,66.33
P218,0.3965,nearby_1km,5.0,101.33
P219,0.5698,nearby_1km,10.0,134.0
P220,0.4788,nearby_1km,7.0,134.0
P221,0.0823,nearby_1km,1.0,54.67
P222,0.1461,nearby_1km,1.5,65.67
P223,0.0,nearby_1km,0.5,65.67
P224,0.5825,region_only,0.0,117.0
P225,0.0,nearby_1km,0.5,6.0
P226,0.4463,region_only,0.0,40.33
P227,0.4406,nearby_1km,6.0,27.0
P228,0.0,nearby_1km,0.5,54.67
P229,0.2805,nearby_1km,3.0,22.0
P230,0.0,nearby_1km,0.5,114.0
P231,0.5124,nearby_1km,8.0,8.0
P232,0.1982,nearby_1km,2.0,6.33
P233,0.4961,nearby_1km,7.5,12.0
P234,0.4865,region_only,0.0,55.33
P235,0.2423,nearby_1km,2.5,8.0
P236,0.3443,nearby_1km,4.0,40.33
P237,0.6679,nearby_1km,14.5,20.33
P238,0.0,nearby_1km,0.5,20.33
P239,0.0,nearby_1km,0.5,20.33
P240,0.0,nearby_1km,0.5,114.0
P241,0.1461,nearby_1km,1.5,134.0
P242,0.3443,nearby_1km,4.0,134.0
P243,0.2805,nearby_1km,3.0,66.33
P244,0.8213,nearby_1km,25.5,27.0
P245,0.3142,nearby_1km,3.5,4.67
P246,0.0823,nearby_1km,1.0,65.67
P247,0.4961,nearby_1km,7.5,103.67
P248,0.2805,nearby_1km,3.0,27.0
P249,0.7261,nearby_1km,18.0,65.67
P250,0.2857,region_only,0.0,11.0
P251,0.6679,nearby_1km,14.5,114.0
P252,0.4194,nearby_1km,5.5,27.0
P253,0.2576,region_only,0.0,8.67
P254,0.3443,nearby_1km,4.0,27.67
P255,0.0823,nearby_1km,1.0,114.0
P256,0.2423,nearby_1km,2.5,2.33
P257,0.3957,region_only,0.0,27.0
P258,0.3175,region_only,0.0,14.33
P259,0.4788,nearby_1km,7.0,27.0
P260,0.3175,region_only,0.0,14.33
P261,0.2423,nearby_1km,2.5,134.0
P262,0.0823,nearby_1km,1.0,14.33
P263,0.2805,nearby_1km,3.0,54.67
P264,0.0823,nearby_1km,1.0,101.33
P265,0.6388,nearby_1km,13.0,101.33
P266,0.4961,nearby_1km,7.5,22.0
P267,0.0,nearby_1km,0.5,134.0
P268,0.6,region_only,0.0,134.0
P269,0.2805,nearby_1km,3.0,120.33
P270,0.4788,nearby_1km,7.0,120.33
P271,0.6388,nearby_1km,13.0,101.33
P272,0.2576,region_only,0.0,8.67
P273,0.3988,region_only,0.0,27.67
P274,0.0,nearby_1km,0.5,15.67
P275,0.5279,nearby_1km,8.5,5.67
P276,0.381,region_only,0.0,24.0
P277,0.1461,nearby_1km,1.5,0.0
P278,0.1982,nearby_1km,2.0,103.67
P279,0.4194,nearby_1km,5.5,103.67
P280,0.1982,nearby_1km,2.0,27.0
P281,0.0,nearby_1km,0.5,120.33
P282,0.3716,nearby_1km,4.5,27.0
P283,0.3965,nearby_1km,5.0,103.67
P284,0.3284,region_only,0.0,15.67
P285,0.3965,nearby_1km,5.0,117.0
P286,0.0823,nearby_1km,1.0,12.67
P287,0.1982,nearby_1km,2.0,117.0
P288,0.5825,region_only,0.0,117.0
P289,0.0823,nearby_1km,1.0,54.67
P290,0.6585,nearby_1km,14.0,134.0
P291,0.5669,region_only,0.0,103.67
P292,0.5124,nearby_1km,8.0,8.33
P293,0.253,region_only,0.0,8.33
P294,0.0,nearby_1km,0.5,11.33
P295,0.564,region_only,0.0,101.33
P296,0.564,region_only,0.0,101.33
P297,0.0,nearby_1km,0.5,101.33
P298,0.0,nearby_1km,0.5,101.33
P299,0.1982,nearby_1km,2.0,103.67
P300,0.1982,nearby_1km,2.0,103.67
P301,0.4406,nearby_1km,6.0,120.33
P302,0.4406,nearby_1km,6.0,117.0
P303,0.564,region_only,0.0,101.33
P304,0.0823,nearby_1km,1.0,134.0
P305,0.3142,nearby_1km,3.5,27.67
P306,0.1461,nearby_1km,1.5,10.33
P307,0.3443,nearby_1km,4.0,10.33
P308,0.5084,region_only,0.0,65.67
P309,0.4603,nearby_1km,6.5,10.33
P310,0.3965,nearby_1km,5.0,54.67
P311,0.4406,nearby_1km,6.0,26.67
P312,0.2423,nearby_1km,2.5,57.0
P313,0.0823,nearby_1km,1.0,27.0
P314,0.1461,nearby_1km,1.5,24.0
P315,0.0,nearby_1km,0.5,54.67
P316,0.5279,nearby_1km,8.5,134.0
P317,0.3142,nearby_1km,3.5,10.67
P318,0.6064,nearby_1km,11.5,101.33
P319,0.793,nearby_1km,23.0,120.33
P320,0.0,nearby_1km,0.5,5.33
P321,0.5825,region_only,0.0,117.0
P322,0.0,nearby_1km,0.5,12.0
P323,0.0,nearby_1km,0.5,120.33
P324,0.2423,nearby_1km,2.5,120.33
