newsPid,placeName,kgPid,matchType,kgName,codeShift
P213,제주농업학교 옛터,P197,EXACT,제주농업학교 옛터,-16
P214,중문리 신사터,P198,EXACT,중문리 신사터,-16
P215,쌍용굴(한림공원),P199,EXACT,쌍용굴(한림공원),-16
P216,협재굴(한림공원),P200,EXACT,협재굴(한림공원),-16
P217,세미오름(샘이오름),P201,EXACT,세미오름(샘이오름),-16
P218,자구리공원,P202,EXACT,자구리공원,-16
P219,서귀포칠십리축제,P203,EXACT,서귀포칠십리축제,-16
P220,보목포구,P204,EXACT,보목포구,-16
P221,용둠범목제계단길,P205,EXACT,용둠범목제계단길,-16
P222,보목자리리돔축제,P206,EXACT,보목자리리돔축제,-16
P223,세미양오름,P207,EXACT,세미양오름,-16
P224,제주국제공항(정뜨르비행장) 1(활주로),P001,PARTIAL,제주국제공항,-223
P224,제주국제공항(정뜨르비행장) 2(활주로),P001,PARTIAL,제주국제공항,-223
P224,제주국제공항(정뜨르비행장) 3(활주로),P001,PARTIAL,제주국제공항,-223
P225,이상한나라의앨리스,P208,EXACT,이상한나라의앨리스,-17
P226,정모시쉼터,P209,EXACT,정모시쉼터,-17
P227,남수각하늘벽화거리,P210,EXACT,남수각하늘벽화거리,-17
P228,오현단,P211,EXACT,오현단,-17
P230,도두오래물축제,P903,PARTIAL,도두오래물,673
P231,산천단 곰솔,P214,EXACT,산천단 곰솔,-17
P232,제주올레 17코스,P215,EXACT,제주올레 17코스,-17
P233,넙게오름,P216,EXACT,넙게오름,-17
P234,선임교,P217,EXACT,선임교,-17
P235,금능포구,P218,EXACT,금능포구,-17
P236,애월 하물,P219,EXACT,애월 하물,-17
P237,애월한담해안산책로,P220,EXACT,애월한담해안산책로,-17
P238,대정현역사자료전시관,P221,EXACT,대정현역사자료전시관,-17
P239,아이리스촬영지(하얀등대),P222,EXACT,아이리스촬영지(하얀등대),-17
P240,영주산,P223,EXACT,영주산,-17
P241,월나봉(도래오름),P224,EXACT,월나봉(도래오름),-17
P242,제주성지 1(제이각 석축),P225,PARTIAL,제주성지,-17
P243,제주시 충혼묘지 4.3추모비(박진경 추도비),P226,EXACT,제주시 충혼묘지 4.3추모비(박진경 추도비),-17
P244,제주올레 1-1코스,P228,EXACT,제주올레 11코스,-16
P245,제주올레 11코스,P228,EXACT,제주올레 11코스,-17
P246,조일구락부 옛터,P229,EXACT,조일구락부 옛터,-17
P247,조천리용천수탐방길 (조천포구),P230,PARTIAL,조천리용천수탐방길,-17
P248,바람모루,P231,EXACT,바람모루,-17
P249,산지천축제,P232,EXACT,산지천축제,-17
P250,서귀포 하영올레 1(정모시 쉼터),P233,PARTIAL,서귀포 하영올레,-17
P251,소남머리,P234,EXACT,소남머리,-17
P252,제주시서문시장,P235,EXACT,제주시서문시장,-17
P253,방일리공원,P236,EXACT,방일리공원,-17
P254,추억애거리,P237,EXACT,추억애거리,-17
P255,도두봉,P238,EXACT,도두봉,-17
P256,도두항,P239,EXACT,도두항,-17
P258,영모원,P241,EXACT,영모원,-17
P259,애월연대,P242,EXACT,애월연대,-17
P261,검멀레동굴,P244,EXACT,검멀레동굴,-17
P262,삼화포구,P245,EXACT,삼화포구,-17
P263,성읍녹차마을,P246,EXACT,성읍녹차마을,-17
P264,월정리해안도로,P247,EXACT,월정리해안도로,-17
P265,칠머리길,P248,EXACT,칠머리길,-17
P266,표선오일장,P249,EXACT,표선오일장,-17
P268,이호테우해수욕장,P250,EXACT,이호테우해수욕장,-18
