placeId,nearbyAccidentRadius_m,nearbyAccidentPeriod,nearbyAccidentTotal,nearbyAccidentTypes,nearbyAnnualAvg,cnt_RP_ANIMAL_01,cnt_RP_COLD_01,cnt_RP_CO_01,cnt_RP_DROWN_01,cnt_RP_FALL_CLIFF,cnt_RP_FIRE_01,cnt_RP_HEAT_02,cnt_RP_MACHINE_01,cnt_RP_SLIP_TERRAIN,cnt_RP_TRAFFIC_01,nearbyRiskScore
P113,1000,2020-2021,96,"RP_SLIP_TERRAIN:46, RP_MACHINE_01:27, RP_TRAFFIC_01:20, RP_ANIMAL_01:1, RP_DROWN_01:1, RP_CO_01:1",48.0,1,0,1,1,0,0,0,27,46,20,0.5854
P114,1000,2020-2021,157,"RP_TRAFFIC_01:84, RP_SLIP_TERRAIN:51, RP_MACHINE_01:12, RP_FALL_CLIFF:6, RP_ANIMAL_01:2, RP_DROWN_01:1, RP_CO_01:1",78.5,2,0,1,1,6,0,0,12,51,84,0.9573
P115,1000,2020-2021,4,RP_TRAFFIC_01:4,2.0,0,0,0,0,0,0,0,0,0,4,0.0244
P116,1000,2020-2021,10,"RP_TRAFFIC_01:8, RP_SLIP_TERRAIN:2",5.0,0,0,0,0,0,0,0,0,2,8,0.061
P117,1000,2020-2021,29,"RP_TRAFFIC_01:23, RP_SLIP_TERRAIN:5, RP_ANIMAL_01:1",14.5,1,0,0,0,0,0,0,0,5,23,0.1768
P118,1000,2020-2021,10,"RP_TRAFFIC_01:5, RP_SLIP_TERRAIN:2, RP_MACHINE_01:2, RP_DROWN_01:1",5.0,0,0,0,1,0,0,0,2,2,5,0.061
P119,1000,2020-2021,39,"RP_TRAFFIC_01:13, RP_SLIP_TERRAIN:12, RP_MACHINE_01:10, RP_FALL_CLIFF:2, RP_ANIMAL_01:1, RP_CO_01:1",19.5,1,0,1,0,2,0,0,10,12,13,0.2378
P120,1000,2020-2021,34,"RP_TRAFFIC_01:29, RP_SLIP_TERRAIN:3, RP_MACHINE_01:2",17.0,0,0,0,0,0,0,0,2,3,29,0.2073
P121,1000,2020-2021,51,"RP_TRAFFIC_01:22, RP_SLIP_TERRAIN:16, RP_MACHINE_01:10, RP_FALL_CLIFF:2, RP_ANIMAL_01:1",25.5,1,0,0,0,2,0,0,10,16,22,0.311
P122,1000,2020-2021,140,"RP_SLIP_TERRAIN:57, RP_MACHINE_01:41, RP_TRAFFIC_01:30, RP_FALL_CLIFF:5, RP_CO_01:4, RP_FIRE_01:2, RP_DROWN_01:1",70.0,0,0,4,1,5,2,0,41,57,30,0.8537
P123,1000,2020-2021,9,"RP_MACHINE_01:6, RP_TRAFFIC_01:3",4.5,0,0,0,0,0,0,0,6,0,3,0.0549
P124,1000,2020-2021,91,"RP_SLIP_TERRAIN:45, RP_MACHINE_01:26, RP_TRAFFIC_01:15, RP_ANIMAL_01:2, RP_DROWN_01:2, RP_CO_01:1",45.5,2,0,1,2,0,0,0,26,45,15,0.5549
P125,1000,2020-2021,64,"RP_SLIP_TERRAIN:26, RP_MACHINE_01:25, RP_TRAFFIC_01:5, RP_ANIMAL_01:4, RP_DROWN_01:3, RP_FALL_CLIFF:1",32.0,4,0,0,3,1,0,0,25,26,5,0.3902
P126,1000,2020-2021,25,"RP_TRAFFIC_01:18, RP_SLIP_TERRAIN:3, RP_ANIMAL_01:2, RP_MACHINE_01:1, RP_HEAT_02:1",12.5,2,0,0,0,0,0,1,1,3,18,0.1524
P127,1000,2020-2021,21,"RP_SLIP_TERRAIN:9, RP_MACHINE_01:7, RP_FALL_CLIFF:3, RP_TRAFFIC_01:2",10.5,0,0,0,0,3,0,0,7,9,2,0.128
