accidentId,risk_id,relationship,accident_type,attribution
AE_NEWS_0399,RP_TRAFFIC_01,EVIDENCES,교통위험,PLACE_CONFIRMED_NEWS
AE_NEWS_0400,RP_TRAFFIC_01,EVIDENCES,교통위험,PLACE_CONFIRMED_NEWS
AE_NEWS_0401,RP_TRAFFIC_01,EVIDENCES,교통위험,PLACE_CONFIRMED_NEWS
AE_NEWS_0402,RP_DROWN_01,EVIDENCES,해양위험,PLACE_CONFIRMED_NEWS
AE_NEWS_0403,RP_TRAFFIC_01,EVIDENCES,교통위험,PLACE_CONFIRMED_NEWS
AE_NEWS_0404,RP_TRAFFIC_01,EVIDENCES,교통위험,PLACE_CONFIRMED_NEWS
AE_NEWS_0405,RP_SLIP_TERRAIN,EVIDENCES,미끄럼/낙상,PLACE_CONFIRMED_NEWS
AE_NEWS_0406,RP_TRAFFIC_01,EVIDENCES,교통위험,PLACE_CONFIRMED_NEWS
AE_NEWS_0407,RP_TRAFFIC_01,EVIDENCES,교통위험,PLACE_CONFIRMED_NEWS
AE_NEWS_0411,RP_DROWN_01,EVIDENCES,해양위험,PLACE_CONFIRMED_NEWS
AE_NEWS_0412,RP_FALL_CLIFF,EVIDENCES,추락,PLACE_CONFIRMED_NEWS
AE_NEWS_0413,RP_ANIMAL_01,EVIDENCES,해양생물,PLACE_CONFIRMED_NEWS
AE_NEWS_0414,RP_FIRE_01,EVIDENCES,화재/폭발,PLACE_CONFIRMED_NEWS
AE_NEWS_0415,RP_TRAFFIC_01,EVIDENCES,교통위험,PLACE_CONFIRMED_NEWS
AE_NEWS_0416,RP_TRAFFIC_01,EVIDENCES,교통위험,PLACE_CONFIRMED_NEWS
AE_NEWS_0417,RP_TRAFFIC_01,EVIDENCES,교통위험,PLACE_CONFIRMED_NEWS
AE_NEWS_0418,RP_TRAFFIC_01,EVIDENCES,교통위험,PLACE_CONFIRMED_NEWS
AE_NEWS_0419,RP_FALL_CLIFF,EVIDENCES,추락,PLACE_CONFIRMED_NEWS
AE_NEWS_0420,RP_DROWN_01,EVIDENCES,해양사고,PLACE_CONFIRMED_NEWS
AE_NEWS_0421,RP_LOST_01,EVIDENCES,길 잃음,PLACE_CONFIRMED_NEWS
AE_NEWS_0423,RP_ANIMAL_01,EVIDENCES,해양생물,PLACE_CONFIRMED_NEWS
AE_NEWS_0424,RP_DROWN_01,EVIDENCES,해양위험,PLACE_CONFIRMED_NEWS
AE_NEWS_0425,RP_DROWN_01,EVIDENCES,익수위험,PLACE_CONFIRMED_NEWS
AE_NEWS_0426,RP_DROWN_01,EVIDENCES,익수위험,PLACE_CONFIRMED_NEWS
AE_NEWS_0427,RP_FIRE_01,EVIDENCES,화재/폭발,PLACE_CONFIRMED_NEWS
AE_NEWS_0428,RP_TRAFFIC_01,EVIDENCES,교통위험,PLACE_CONFIRMED_NEWS
AE_NEWS_0430,RP_TRAFFIC_01,EVIDENCES,교통위험,PLACE_CONFIRMED_NEWS
AE_NEWS_0431,RP_TRAFFIC_01,EVIDENCES,교통위험,PLACE_CONFIRMED_NEWS
AE_NEWS_0432,RP_FALL_CLIFF,EVIDENCES,추락,PLACE_CONFIRMED_NEWS
AE_NEWS_0434,RP_ANIMAL_01,EVIDENCES,복어,PLACE_CONFIRMED_NEWS
AE_NEWS_0435,RP_LOST_01,EVIDENCES,길잃음,PLACE_CONFIRMED_NEWS
AE_NEWS_0439,RP_TRAFFIC_01,EVIDENCES,교통위험,PLACE_CONFIRMED_NEWS
AE_NEWS_0440,RP_DROWN_01,EVIDENCES,해양위험,PLACE_CONFIRMED_NEWS
AE_NEWS_0441,RP_DROWN_01,EVIDENCES,해양위험,PLACE_CONFIRMED_NEWS
AE_NEWS_0442,RP_DROWN_01,EVIDENCES,익수위험,PLACE_CONFIRMED_NEWS
AE_NEWS_0443,RP_FALL_CLIFF,EVIDENCES,추락,PLACE_CONFIRMED_NEWS
AE_NEWS_0444,RP_DROWN_01,EVIDENCES,익수위험,PLACE_CONFIRMED_NEWS
AE_NEWS_0445,RP_DROWN_01,EVIDENCES,해양사고,PLACE_CONFIRMED_NEWS
AE_NEWS_0446,RP_TRAFFIC_01,EVIDENCES,교통위험,PLACE_CONFIRMED_NEWS
AE_NEWS_0447,RP_TRAFFIC_01,EVIDENCES,교통위험,PLACE_CONFIRMED_NEWS
AE_NEWS_0448,RP_DROWN_01,EVIDENCES,해양사고,PLACE_CONFIRMED_NEWS
AE_NEWS_0450,RP_TRAFFIC_01,EVIDENCES,교통위험,PLACE_CONFIRMED_NEWS
AE_NEWS_0451,RP_DROWN_01,EVIDENCES,해양위험,PLACE_CONFIRMED_NEWS
AE_NEWS_0452,RP_MOUNTAIN_01,EVIDENCES,산악사고,PLACE_CONFIRMED_NEWS
AE_NEWS_0453,RP_MACHINE_01,EVIDENCES,농기계 사고,PLACE_CONFIRMED_NEWS
AE_NEWS_0454,RP_WAVE_02,EVIDENCES,만조,PLACE_CONFIRMED_NEWS
AE_NEWS_0455,RP_TRAFFIC_01,EVIDENCES,교통위험,PLACE_CONFIRMED_NEWS
AE_NEWS_0456,RP_TRAFFIC_01,EVIDENCES,교통위험,PLACE_CONFIRMED_NEWS
AE_NEWS_0457,RP_MOUNTAIN_01,EVIDENCES,산악사고,PLACE_CONFIRMED_NEWS
AE_NEWS_0458,RP_HEAT_02,EVIDENCES,무더위,PLACE_CONFIRMED_NEWS
