placeId,recentAreaTotal,recentAreaTypes,recentAreaPeriod,recentAreaBasis
P532,10,낙상:5;기타 둔상:2;관통상:2;온열손상:1,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
P630,10,낙상:5;기타 둔상:2;관통상:2;온열손상:1,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
P631,10,낙상:5;기타 둔상:2;관통상:2;온열손상:1,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
P742,10,낙상:5;기타 둔상:2;관통상:2;온열손상:1,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
P883,10,낙상:5;기타 둔상:2;관통상:2;온열손상:1,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
P901,10,낙상:5;기타 둔상:2;관통상:2;온열손상:1,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
P917,10,낙상:5;기타 둔상:2;관통상:2;온열손상:1,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
P969,6,기타 둔상:4;낙상:1;추락:1,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
P997,6,기타 둔상:4;낙상:1;추락:1,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
P428,6,낙상:5;열상:1,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
P528,6,낙상:5;열상:1,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
P625,6,낙상:5;열상:1,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
P707,6,낙상:5;열상:1,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
P953,6,낙상:5;열상:1,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
P1003,6,낙상:5;열상:1,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
P454,7,낙상:5;추락:1;동물곤충:1,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
P456,7,낙상:5;추락:1;동물곤충:1,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
P845,7,낙상:5;추락:1;동물곤충:1,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
P859,7,낙상:5;추락:1;동물곤충:1,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
P008,6,기타 둔상:2;동물곤충:1;낙상:1;추락:1;관통상:1,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
P250,6,기타 둔상:2;동물곤충:1;낙상:1;추락:1;관통상:1,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
P406,6,기타 둔상:2;동물곤충:1;낙상:1;추락:1;관통상:1,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
P063,2,낙상:1;열상:1,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
P350,2,낙상:1;열상:1,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
P577,2,낙상:1;열상:1,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
P830,2,낙상:1;열상:1,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
P258,11,낙상:9;기타 둔상:2,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
P260,11,낙상:9;기타 둔상:2,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
P262,11,낙상:9;기타 둔상:2,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
P739,11,낙상:9;기타 둔상:2,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
P747,11,낙상:9;기타 둔상:2,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
