accidentId,placeId
AE_NEWS_0228,P210
AE_NEWS_0229,P212
AE_NEWS_0230,P212
AE_NEWS_0231,P212
AE_NEWS_0232,P212
AE_NEWS_0233,P212
AE_NEWS_0234,P212
AE_NEWS_0235,P215
AE_NEWS_0236,P217
AE_NEWS_0237,P217
AE_NEWS_0238,P218
AE_NEWS_0239,P220
AE_NEWS_0240,P220
AE_NEWS_0241,P220
AE_NEWS_0242,P224
AE_NEWS_0243,P224
AE_NEWS_0244,P224
AE_NEWS_0245,P230
AE_NEWS_0246,P233
AE_NEWS_0247,P235
AE_NEWS_0248,P235
AE_NEWS_0249,P235
AE_NEWS_0250,P237
AE_NEWS_0251,P237
AE_NEWS_0252,P239
AE_NEWS_0253,P240
AE_NEWS_0254,P240
AE_NEWS_0255,P242
AE_NEWS_0256,P247
AE_NEWS_0257,P249
AE_NEWS_0258,P249
AE_NEWS_0259,P249
AE_NEWS_0260,P250
AE_NEWS_0261,P251
AE_NEWS_0262,P255
AE_NEWS_0263,P256
AE_NEWS_0264,P256
AE_NEWS_0265,P257
AE_NEWS_0266,P264
AE_NEWS_0267,P268
AE_NEWS_0268,P268
AE_NEWS_0269,P268
AE_NEWS_0270,P269
AE_NEWS_0271,P269
AE_NEWS_0272,P271
AE_NEWS_0273,P271
AE_NEWS_0274,P272
AE_NEWS_0275,P273
AE_NEWS_0276,P275
AE_NEWS_0277,P275
AE_NEWS_0278,P276
AE_NEWS_0279,P278
AE_NEWS_0280,P278
AE_NEWS_0281,P278
AE_NEWS_0282,P280
AE_NEWS_0283,P280
AE_NEWS_0284,P284
AE_NEWS_0285,P284
AE_NEWS_0286,P293
AE_NEWS_0287,P301
AE_NEWS_0288,P302
AE_NEWS_0289,P304
AE_NEWS_0290,P304
AE_NEWS_0291,P306
AE_NEWS_0292,P306
AE_NEWS_0293,P306
AE_NEWS_0294,P306
AE_NEWS_0295,P306
AE_NEWS_0296,P306
AE_NEWS_0297,P308
AE_NEWS_0298,P309
AE_NEWS_0299,P309
AE_NEWS_0300,P309
AE_NEWS_0301,P309
AE_NEWS_0302,P309
AE_NEWS_0303,P310
AE_NEWS_0304,P310
AE_NEWS_0305,P313
AE_NEWS_0306,P313
AE_NEWS_0307,P315
AE_NEWS_0308,P323
AE_NEWS_0309,P323
AE_NEWS_0310,P324
AE_NEWS_0311,P328
AE_NEWS_0312,P328
AE_NEWS_0313,P328
AE_NEWS_0314,P328
AE_NEWS_0315,P328
AE_NEWS_0316,P328
AE_NEWS_0317,P328
AE_NEWS_0318,P328
AE_NEWS_0319,P329
AE_NEWS_0320,P330
AE_NEWS_0321,P330
AE_NEWS_0322,P334
AE_NEWS_0323,P334
AE_NEWS_0324,P335
AE_NEWS_0325,P336
AE_NEWS_0326,P336
AE_NEWS_0327,P337
AE_NEWS_0328,P337
AE_NEWS_0329,P337
AE_NEWS_0330,P340
AE_NEWS_0331,P340
AE_NEWS_0332,P340
AE_NEWS_0333,P342
AE_NEWS_0334,P343
AE_NEWS_0335,P344
AE_NEWS_0336,P344
AE_NEWS_0337,P344
AE_NEWS_0338,P344
AE_NEWS_0339,P344
AE_NEWS_0340,P344
AE_NEWS_0341,P347
AE_NEWS_0342,P348
AE_NEWS_0343,P348
AE_NEWS_0344,P349
AE_NEWS_0345,P355
AE_NEWS_0346,P355
AE_NEWS_0347,P357
AE_NEWS_0348,P357
AE_NEWS_0349,P357
AE_NEWS_0350,P357
AE_NEWS_0351,P357
AE_NEWS_0352,P357
AE_NEWS_0353,P357
AE_NEWS_0354,P357
AE_NEWS_0355,P357
AE_NEWS_0356,P357
AE_NEWS_0357,P357
AE_NEWS_0358,P357
AE_NEWS_0359,P358
AE_NEWS_0360,P358
AE_NEWS_0361,P363
AE_NEWS_0362,P364
AE_NEWS_0363,P364
AE_NEWS_0364,P366
AE_NEWS_0365,P366
AE_NEWS_0366,P366
AE_NEWS_0367,P366
AE_NEWS_0368,P367
AE_NEWS_0369,P367
AE_NEWS_0370,P370
AE_NEWS_0371,P374
AE_NEWS_0372,P376
AE_NEWS_0373,P380
AE_NEWS_0374,P382
AE_NEWS_0375,P382
AE_NEWS_0376,P382
AE_NEWS_0377,P384
AE_NEWS_0378,P385
AE_NEWS_0379,P387
AE_NEWS_0380,P390
AE_NEWS_0381,P390
AE_NEWS_0382,P390
AE_NEWS_0383,P395
AE_NEWS_0384,P396
AE_NEWS_0385,P396
AE_NEWS_0386,P396
AE_NEWS_0387,P396
AE_NEWS_0388,P400
AE_NEWS_0389,P402
AE_NEWS_0390,P406
AE_NEWS_0391,P420
AE_NEWS_0392,P420
AE_NEWS_0393,P424
AE_NEWS_0394,P426
AE_NEWS_0395,P429
AE_NEWS_0396,P430
AE_NEWS_0397,P432
AE_NEWS_0398,P434
AE_NEWS_0399,P434
AE_NEWS_0400,P436
AE_NEWS_0401,P436
AE_NEWS_0402,P440
AE_NEWS_0403,P446
AE_NEWS_0404,P446
AE_NEWS_0405,P447
AE_NEWS_0406,P447
AE_NEWS_0407,P447
AE_NEWS_0408,P447
AE_NEWS_0409,P447
AE_NEWS_0410,P448
AE_NEWS_0411,P449
AE_NEWS_0412,P451
AE_NEWS_0413,P452
AE_NEWS_0414,P457
AE_NEWS_0415,P458
AE_NEWS_0416,P459
AE_NEWS_0417,P459
AE_NEWS_0418,P462
AE_NEWS_0419,P464
AE_NEWS_0420,P469
AE_NEWS_0421,P474
AE_NEWS_0422,P475
AE_NEWS_0423,P475
AE_NEWS_0424,P475
AE_NEWS_0425,P477
AE_NEWS_0426,P477
AE_NEWS_0427,P480
AE_NEWS_0428,P480
AE_NEWS_0429,P483
AE_NEWS_0430,P484
AE_NEWS_0431,P496
AE_NEWS_0432,P497
AE_NEWS_0433,P497
AE_NEWS_0434,P497
AE_NEWS_0435,P497
AE_NEWS_0436,P497
AE_NEWS_0437,P498
AE_NEWS_0438,P504
AE_NEWS_0439,P512
AE_NEWS_0440,P514
AE_NEWS_0441,P517
AE_NEWS_0442,P517
AE_NEWS_0443,P518
AE_NEWS_0444,P518
AE_NEWS_0445,P518
AE_NEWS_0446,P523
AE_NEWS_0447,P524
AE_NEWS_0448,P524
AE_NEWS_0449,P524
AE_NEWS_0450,P525
AE_NEWS_0451,P527
AE_NEWS_0452,P530
AE_NEWS_0453,P530
AE_NEWS_0454,P532
AE_NEWS_0455,P535
AE_NEWS_0456,P535
AE_NEWS_0457,P538
AE_NEWS_0458,P544
AE_NEWS_0459,P551
AE_NEWS_0460,P553
AE_NEWS_0461,P558
AE_NEWS_0462,P560
AE_NEWS_0463,P565
AE_NEWS_0464,P566
AE_NEWS_0465,P567
AE_NEWS_0466,P567
AE_NEWS_0467,P567
AE_NEWS_0468,P578
AE_NEWS_0469,P582
AE_NEWS_0470,P582
AE_NEWS_0471,P584
AE_NEWS_0472,P585
AE_NEWS_0473,P587
AE_NEWS_0474,P588
AE_NEWS_0475,P590
AE_NEWS_0476,P591
AE_NEWS_0477,P592
AE_NEWS_0478,P592
AE_NEWS_0479,P592
AE_NEWS_0480,P592
AE_NEWS_0481,P593
AE_NEWS_0482,P593
AE_NEWS_0483,P593
AE_NEWS_0484,P593
AE_NEWS_0485,P593
AE_NEWS_0486,P593
AE_NEWS_0487,P593
AE_NEWS_0488,P593
AE_NEWS_0489,P593
AE_NEWS_0490,P593
AE_NEWS_0491,P593
AE_NEWS_0492,P594
AE_NEWS_0493,P595
AE_NEWS_0494,P595
AE_NEWS_0495,P595
AE_NEWS_0496,P596
AE_NEWS_0497,P596
AE_NEWS_0498,P596
AE_NEWS_0499,P597
AE_NEWS_0500,P598
AE_NEWS_0501,P598
AE_NEWS_0502,P599
AE_NEWS_0503,P599
AE_NEWS_0504,P599
AE_NEWS_0505,P599
AE_NEWS_0506,P599
AE_NEWS_0507,P600
AE_NEWS_0508,P600
AE_NEWS_0509,P601
AE_NEWS_0510,P601
AE_NEWS_0511,P602
AE_NEWS_0512,P603
AE_NEWS_0513,P604
AE_NEWS_0514,P604
AE_NEWS_0515,P605
AE_NEWS_0516,P606
AE_NEWS_0517,P607
AE_NEWS_0518,P607
AE_NEWS_0519,P608
AE_NEWS_0520,P608
AE_NEWS_0521,P609
AE_NEWS_0522,P609
AE_NEWS_0523,P610
AE_NEWS_0524,P610
AE_NEWS_0525,P611
AE_NEWS_0526,P612
AE_NEWS_0527,P613
AE_NEWS_0528,P613
AE_NEWS_0529,P614
AE_NEWS_0530,P615
AE_NEWS_0531,P615
AE_NEWS_0532,P616
AE_NEWS_0533,P617
AE_NEWS_0534,P618
AE_NEWS_0535,P619
AE_NEWS_0536,P620
AE_NEWS_0537,P620
AE_NEWS_0538,P620
AE_NEWS_0539,P621
AE_NEWS_0540,P622
AE_NEWS_0541,P623
AE_NEWS_0542,P624
AE_NEWS_0543,P625
AE_NEWS_0544,P626
AE_NEWS_0545,P626
AE_NEWS_0546,P627
AE_NEWS_0547,P628
AE_NEWS_0548,P629
AE_NEWS_0549,P630
AE_NEWS_0550,P630
AE_NEWS_0551,P630
AE_NEWS_0552,P630
AE_NEWS_0553,P631
AE_NEWS_0554,P632
AE_NEWS_0555,P633
AE_NEWS_0556,P634
AE_NEWS_0557,P635
AE_NEWS_0558,P636
AE_NEWS_0559,P637
AE_NEWS_0560,P638
AE_NEWS_0561,P638
AE_NEWS_0562,P639
AE_NEWS_0563,P640
AE_NEWS_0564,P640
AE_NEWS_0565,P641
AE_NEWS_0566,P642
AE_NEWS_0567,P643
AE_NEWS_0568,P644
AE_NEWS_0569,P645
AE_NEWS_0570,P646
AE_NEWS_0571,P647
AE_NEWS_0572,P648
AE_NEWS_0573,P649
