accidentId,placeId,relationship,distance_m
AE_FIRE_PT_00375,P237,OCCURRED_AT,101
AE_FIRE_PT_00376,P811,OCCURRED_AT,328
AE_FIRE_PT_00377,P259,OCCURRED_AT,1000
AE_FIRE_PT_00378,P730,OCCURRED_AT,74
AE_FIRE_PT_00379,P070,OCCURRED_AT,66
AE_FIRE_PT_00380,P930,OCCURRED_AT,854
AE_FIRE_PT_00381,P975,OCCURRED_AT,998
AE_FIRE_PT_00385,P081,OCCURRED_AT,319
AE_FIRE_PT_00386,P310,OCCURRED_AT,205
AE_FIRE_PT_00388,P392,OCCURRED_AT,333
AE_FIRE_PT_00389,P662,OCCURRED_AT,641
AE_FIRE_PT_00391,P047,OCCURRED_AT,304
AE_FIRE_PT_00392,P951,OCCURRED_AT,131
AE_FIRE_PT_00393,P738,OCCURRED_AT,90
AE_FIRE_PT_00394,P965,OCCURRED_AT,748
AE_FIRE_PT_00395,P876,OCCURRED_AT,270
AE_FIRE_PT_00396,P854,OCCURRED_AT,478
AE_FIRE_PT_00397,P995,OCCURRED_AT,999
AE_FIRE_PT_00398,P957,OCCURRED_AT,516
AE_FIRE_PT_00399,P186,OCCURRED_AT,68
AE_FIRE_PT_00400,P032,OCCURRED_AT,230
AE_FIRE_PT_00401,P1021,OCCURRED_AT,731
AE_FIRE_PT_00402,P334,OCCURRED_AT,132
AE_FIRE_PT_00403,P334,OCCURRED_AT,132
AE_FIRE_PT_00404,P235,OCCURRED_AT,120
AE_FIRE_PT_00405,P235,OCCURRED_AT,120
AE_FIRE_PT_00406,P014,OCCURRED_AT,103
AE_FIRE_PT_00407,P549,OCCURRED_AT,892
AE_FIRE_PT_00408,P1021,OCCURRED_AT,313
AE_FIRE_PT_00409,P124,OCCURRED_AT,208
AE_FIRE_PT_00410,P699,OCCURRED_AT,233
AE_FIRE_PT_00412,P955,OCCURRED_AT,1
AE_FIRE_PT_00413,P862,OCCURRED_AT,420
AE_FIRE_PT_00417,P871,OCCURRED_AT,144
AE_FIRE_PT_00418,P871,OCCURRED_AT,144
AE_FIRE_PT_00419,P871,OCCURRED_AT,144
AE_FIRE_PT_00420,P251,OCCURRED_AT,53
AE_FIRE_PT_00421,P500,OCCURRED_AT,74
AE_FIRE_PT_00422,P601,OCCURRED_AT,629
AE_FIRE_PT_00423,P882,OCCURRED_AT,350
AE_FIRE_PT_00424,P197,OCCURRED_AT,269
AE_FIRE_PT_00425,P197,OCCURRED_AT,269
AE_FIRE_PT_00427,P254,OCCURRED_AT,208
AE_FIRE_PT_00428,P313,OCCURRED_AT,38
AE_FIRE_PT_00429,P299,OCCURRED_AT,67
AE_FIRE_PT_00430,P147,OCCURRED_AT,311
AE_FIRE_PT_00431,P204,OCCURRED_AT,314
AE_FIRE_PT_00432,P150,OCCURRED_AT,308
