risk_id,placeId,relationship
RP_WIND_01,P501,APPLIES_TO
RP_WIND_01,P503,APPLIES_TO
RP_WIND_01,P505,APPLIES_TO
RP_WIND_01,P506,APPLIES_TO
RP_WIND_01,P509,APPLIES_TO
RP_WIND_01,P510,APPLIES_TO
RP_WIND_01,P513,APPLIES_TO
RP_WIND_01,P520,APPLIES_TO
RP_WIND_01,P523,APPLIES_TO
RP_WIND_01,P534,APPLIES_TO
RP_WIND_01,P536,APPLIES_TO
RP_WIND_01,P537,APPLIES_TO
RP_WIND_01,P539,APPLIES_TO
RP_WIND_01,P541,APPLIES_TO
RP_WIND_01,P546,APPLIES_TO
RP_WIND_01,P549,APPLIES_TO
RP_WIND_01,P550,APPLIES_TO
RP_WIND_01,P552,APPLIES_TO
RP_WIND_01,P554,APPLIES_TO
RP_WIND_01,P555,APPLIES_TO
RP_WIND_01,P557,APPLIES_TO
RP_WIND_01,P558,APPLIES_TO
RP_WIND_01,P560,APPLIES_TO
RP_WIND_01,P561,APPLIES_TO
RP_WIND_01,P562,APPLIES_TO
RP_WIND_01,P566,APPLIES_TO
RP_WIND_01,P567,APPLIES_TO
RP_WIND_01,P568,APPLIES_TO
RP_WIND_01,P572,APPLIES_TO
RP_WIND_01,P577,APPLIES_TO
RP_WIND_01,P578,APPLIES_TO
RP_WIND_01,P580,APPLIES_TO
RP_WIND_01,P581,APPLIES_TO
RP_WIND_01,P584,APPLIES_TO
RP_WIND_01,P594,APPLIES_TO
RP_WIND_01,P596,APPLIES_TO
RP_WIND_01,P600,APPLIES_TO
RP_WIND_01,P601,APPLIES_TO
RP_WIND_01,P602,APPLIES_TO
RP_WIND_01,P604,APPLIES_TO
RP_WIND_01,P605,APPLIES_TO
RP_WIND_01,P606,APPLIES_TO
RP_WIND_01,P607,APPLIES_TO
RP_WIND_01,P608,APPLIES_TO
RP_WIND_01,P609,APPLIES_TO
RP_WIND_01,P610,APPLIES_TO
RP_WIND_01,P611,APPLIES_TO
RP_WIND_01,P612,APPLIES_TO
RP_WIND_01,P613,APPLIES_TO
RP_WIND_01,P615,APPLIES_TO
RP_WIND_01,P616,APPLIES_TO
RP_WIND_01,P619,APPLIES_TO
RP_WIND_01,P620,APPLIES_TO
RP_WIND_01,P621,APPLIES_TO
RP_WIND_01,P622,APPLIES_TO
RP_WIND_01,P623,APPLIES_TO
RP_WIND_01,P624,APPLIES_TO
RP_WIND_01,P627,APPLIES_TO
RP_WIND_01,P628,APPLIES_TO
RP_WIND_01,P630,APPLIES_TO
RP_WIND_01,P631,APPLIES_TO
RP_WIND_01,P632,APPLIES_TO
RP_WIND_01,P633,APPLIES_TO
RP_WIND_01,P634,APPLIES_TO
RP_WIND_01,P636,APPLIES_TO
RP_WIND_01,P739,APPLIES_TO
RP_WIND_01,P740,APPLIES_TO
RP_WIND_01,P741,APPLIES_TO
RP_WIND_01,P742,APPLIES_TO
RP_WIND_01,P744,APPLIES_TO
RP_WIND_01,P745,APPLIES_TO
RP_WIND_01,P746,APPLIES_TO
RP_WIND_01,P747,APPLIES_TO
RP_WIND_01,P748,APPLIES_TO
RP_WIND_01,P749,APPLIES_TO
RP_WIND_01,P750,APPLIES_TO
RP_WIND_01,P751,APPLIES_TO
RP_WIND_01,P752,APPLIES_TO
RP_WIND_01,P753,APPLIES_TO
RP_WIND_01,P754,APPLIES_TO
RP_WIND_01,P755,APPLIES_TO
RP_WIND_01,P756,APPLIES_TO
RP_WIND_01,P757,APPLIES_TO
RP_WIND_01,P758,APPLIES_TO
RP_WIND_01,P759,APPLIES_TO
RP_WIND_01,P760,APPLIES_TO
RP_WIND_01,P761,APPLIES_TO
RP_WIND_01,P762,APPLIES_TO
RP_WIND_01,P763,APPLIES_TO
RP_WIND_01,P764,APPLIES_TO
RP_WIND_01,P765,APPLIES_TO
RP_WIND_01,P766,APPLIES_TO
RP_WIND_01,P767,APPLIES_TO
RP_WIND_01,P768,APPLIES_TO
RP_WIND_01,P769,APPLIES_TO
RP_WIND_01,P770,APPLIES_TO
RP_WIND_01,P771,APPLIES_TO
RP_WIND_01,P772,APPLIES_TO
RP_WIND_01,P773,APPLIES_TO
RP_WIND_01,P774,APPLIES_TO
RP_WIND_01,P775,APPLIES_TO
RP_WIND_01,P776,APPLIES_TO
RP_WIND_01,P777,APPLIES_TO
RP_WIND_01,P778,APPLIES_TO
RP_WIND_01,P779,APPLIES_TO
RP_WIND_01,P780,APPLIES_TO
RP_WIND_01,P781,APPLIES_TO
RP_WIND_01,P782,APPLIES_TO
RP_WIND_01,P783,APPLIES_TO
RP_WIND_01,P784,APPLIES_TO
RP_WIND_01,P785,APPLIES_TO
RP_WIND_01,P786,APPLIES_TO
RP_WIND_01,P787,APPLIES_TO
RP_WIND_01,P788,APPLIES_TO
RP_WIND_01,P789,APPLIES_TO
RP_WIND_01,P790,APPLIES_TO
RP_WIND_01,P791,APPLIES_TO
RP_WIND_01,P792,APPLIES_TO
RP_WIND_01,P793,APPLIES_TO
RP_WIND_01,P794,APPLIES_TO
RP_WIND_01,P795,APPLIES_TO
RP_WIND_01,P796,APPLIES_TO
RP_WIND_01,P797,APPLIES_TO
RP_WIND_01,P798,APPLIES_TO
RP_WIND_01,P859,APPLIES_TO
RP_WIND_01,P860,APPLIES_TO
RP_WIND_01,P861,APPLIES_TO
RP_WIND_01,P862,APPLIES_TO
RP_WIND_01,P863,APPLIES_TO
RP_WIND_01,P864,APPLIES_TO
RP_WIND_01,P865,APPLIES_TO
RP_WIND_01,P866,APPLIES_TO
RP_WIND_01,P867,APPLIES_TO
RP_WIND_01,P868,APPLIES_TO
RP_WIND_01,P869,APPLIES_TO
RP_WIND_01,P870,APPLIES_TO
RP_WIND_01,P871,APPLIES_TO
RP_WIND_01,P872,APPLIES_TO
RP_WIND_01,P873,APPLIES_TO
RP_WIND_01,P874,APPLIES_TO
RP_WIND_01,P875,APPLIES_TO
RP_WIND_01,P876,APPLIES_TO
RP_WIND_01,P877,APPLIES_TO
RP_WIND_01,P878,APPLIES_TO
RP_WIND_01,P879,APPLIES_TO
RP_WIND_01,P880,APPLIES_TO
RP_WIND_01,P881,APPLIES_TO
RP_WIND_01,P882,APPLIES_TO
RP_WIND_01,P883,APPLIES_TO
RP_WIND_01,P884,APPLIES_TO
RP_WIND_01,P885,APPLIES_TO
RP_WIND_01,P886,APPLIES_TO
RP_WIND_01,P887,APPLIES_TO
RP_WIND_01,P888,APPLIES_TO
RP_WIND_01,P889,APPLIES_TO
RP_WIND_01,P890,APPLIES_TO
RP_WIND_01,P891,APPLIES_TO
RP_WIND_01,P892,APPLIES_TO
RP_WIND_01,P893,APPLIES_TO
RP_WIND_01,P894,APPLIES_TO
RP_WIND_01,P895,APPLIES_TO
RP_WIND_01,P896,APPLIES_TO
RP_WIND_01,P897,APPLIES_TO
RP_WIND_01,P898,APPLIES_TO
RP_WIND_01,P899,APPLIES_TO
RP_WIND_01,P900,APPLIES_TO
RP_WIND_01,P901,APPLIES_TO
RP_WIND_01,P902,APPLIES_TO
RP_WIND_01,P903,APPLIES_TO
RP_WIND_01,P904,APPLIES_TO
RP_WIND_01,P905,APPLIES_TO
RP_WIND_01,P906,APPLIES_TO
RP_WIND_01,P907,APPLIES_TO
RP_WIND_01,P908,APPLIES_TO
RP_WIND_01,P909,APPLIES_TO
RP_WIND_01,P910,APPLIES_TO
RP_WIND_01,P911,APPLIES_TO
RP_WIND_01,P912,APPLIES_TO
RP_WIND_01,P913,APPLIES_TO
RP_WIND_01,P914,APPLIES_TO
RP_WIND_01,P915,APPLIES_TO
RP_WIND_01,P916,APPLIES_TO
RP_WIND_01,P917,APPLIES_TO
RP_WIND_01,P918,APPLIES_TO
RP_WIND_01,P919,APPLIES_TO
