profile_id,profile_type,profile_kr
VP_OLDER,OlderAdultVisitor,고령 관광객
VP_CHILD,ChildVisitor,아동
VP_INFANT,FamilyWithInfant,유아 동반
VP_FOREIGN,ForeignVisitor,외국인
VP_SOLO,SoloTraveler,혼행
VP_RENTAL,RentalCarVisitor,렌터카 이용
VP_WHEEL,WheelchairUser,휠체어 이용
VP_MOBILITY,MobilityImpaired,보행약자
VP_VISUAL,VisuallyImpairedVisitor,시각장애 관광객
VP_HEARING,HearingImpairedVisitor,청각장애 관광객
VP_DEVELOP,DevelopmentalDisabilityVisitor,발달장애 관광객
